iter	Passed	Remaining
0	154	154367
1	155	77723
2	156	52069
3	157	39226
4	158	31587
5	159	26490
6	160	22794
7	161	20011
8	162	17865
9	162	16122
10	163	14700
11	164	13524
12	164	12516
13	165	11648
14	166	10905
15	166	10250
16	167	9671
17	167	9154
18	168	8693
19	168	8279
20	169	7902
21	170	7569
22	171	7278
23	172	7010
24	173	6748
25	173	6509
26	174	6282
27	174	6071
28	175	5873
29	175	5688
30	176	5516
31	177	5355
32	177	5208
33	178	5065
34	178	4930
35	179	4802
36	179	4682
37	180	4568
38	181	4460
39	181	4358
40	182	4260
41	182	4167
42	183	4077
43	183	3992
44	194	4125
45	198	4124
46	199	4055
47	200	3979
48	201	3908
49	202	3842
50	202	3775
51	203	3709
52	204	3647
53	204	3586
54	205	3527
55	205	3470
56	206	3415
57	207	3365
58	208	3317
59	208	3271
60	209	3223
61	209	3175
62	210	3130
63	211	3085
64	211	3042
65	228	3235
66	229	3195
67	230	3154
68	230	3116
69	231	3076
70	232	3038
71	232	3001
72	233	2969
73	234	2932
74	234	2897
75	235	2863
76	236	2830
77	236	2796
78	237	2765
79	237	2733
80	238	2702
81	238	2672
82	239	2640
83	239	2612
84	240	2585
85	240	2559
86	241	2535
87	242	2510
88	242	2487
89	258	2616
90	259	2595
91	260	2573
92	261	2549
93	262	2526
94	262	2503
95	263	2479
96	264	2458
97	264	2436
98	265	2415
99	266	2394
100	266	2372
101	267	2352
102	267	2331
103	268	2311
104	268	2290
105	269	2271
106	269	2251
107	270	2232
108	270	2213
109	271	2195
110	271	2177
111	279	2219
112	286	2250
113	287	2236
114	288	2219
115	288	2201
116	289	2183
117	289	2166
118	290	2149
119	290	2132
120	291	2116
121	291	2100
122	292	2084
123	292	2069
124	293	2053
125	293	2038
126	294	2023
127	294	2009
128	295	1994
129	296	1980
130	296	1967
131	297	1953
132	297	1939
133	298	1926
134	298	1913
135	299	1900
136	299	1888
137	302	1891
138	316	1960
139	317	1949
140	317	1936
141	318	1923
142	318	1911
143	319	1898
144	319	1886
145	320	1874
146	321	1862
147	321	1851
148	322	1839
149	322	1828
150	323	1817
151	323	1806
152	324	1795
153	324	1784
154	325	1773
155	325	1763
156	326	1753
157	327	1742
158	327	1732
159	328	1722
160	328	1711
161	329	1702
162	329	1692
163	330	1683
164	330	1674
165	345	1738
166	346	1729
167	347	1720
168	347	1711
169	348	1701
170	349	1692
171	349	1682
172	350	1673
173	350	1664
174	351	1655
175	351	1646
176	352	1637
177	352	1628
178	353	1620
179	353	1611
180	354	1603
181	354	1594
182	355	1586
183	355	1578
184	356	1570
185	357	1562
186	357	1554
187	358	1546
188	358	1539
189	359	1531
190	359	1523
191	360	1516
192	363	1519
193	376	1564
194	377	1558
195	378	1551
196	378	1543
197	379	1535
198	379	1528
199	380	1521
200	380	1514
201	381	1506
202	382	1499
203	382	1492
204	383	1486
205	383	1479
206	384	1472
207	385	1466
208	385	1459
209	386	1452
210	386	1446
211	387	1439
212	387	1432
213	388	1426
214	388	1419
215	389	1413
216	389	1407
217	390	1400
218	391	1394
219	395	1400
220	407	1434
221	407	1428
222	408	1422
223	408	1416
224	409	1410
225	409	1403
226	410	1397
227	410	1391
228	411	1385
229	411	1379
230	412	1373
231	413	1367
232	413	1361
233	414	1355
234	414	1349
235	415	1343
236	415	1338
237	416	1332
238	416	1326
239	417	1320
240	417	1315
241	418	1309
242	418	1304
243	419	1298
244	419	1293
245	420	1288
246	420	1282
247	421	1277
248	422	1273
249	422	1268
250	423	1263
251	423	1257
252	424	1252
253	424	1247
254	425	1242
255	425	1237
256	426	1233
257	427	1228
258	427	1223
259	428	1218
260	428	1213
261	431	1216
262	445	1247
263	445	1242
264	446	1237
265	446	1232
266	447	1227
267	447	1222
268	448	1218
269	448	1213
270	449	1208
271	449	1203
272	450	1199
273	450	1194
274	451	1189
275	451	1185
276	452	1181
277	453	1176
278	453	1172
279	454	1167
280	454	1163
281	455	1158
282	455	1154
283	456	1150
284	456	1145
285	457	1141
286	457	1137
287	458	1132
288	458	1128
289	459	1124
290	462	1126
291	475	1153
292	476	1149
293	476	1144
294	477	1140
295	477	1136
296	478	1132
297	478	1127
298	479	1123
299	479	1119
300	480	1115
301	480	1111
302	481	1107
303	481	1103
304	482	1099
305	483	1095
306	483	1091
307	484	1087
308	484	1083
309	485	1080
310	485	1076
311	486	1072
312	486	1068
313	487	1065
314	488	1061
315	488	1057
316	489	1053
317	489	1050
318	490	1046
319	494	1051
320	506	1070
321	506	1067
322	507	1063
323	507	1059
324	508	1056
325	509	1052
326	509	1048
327	510	1045
328	510	1041
329	511	1037
330	511	1034
331	512	1030
332	512	1027
333	513	1024
334	514	1020
335	514	1017
336	515	1013
337	515	1010
338	516	1006
339	516	1003
340	517	999
341	517	996
342	518	992
343	518	989
344	519	986
345	519	982
346	520	979
347	523	979
348	536	1001
349	537	998
350	537	994
351	538	991
352	538	987
353	539	984
354	539	981
355	540	977
356	543	979
357	544	976
358	545	973
359	545	970
360	546	966
361	546	963
362	547	960
363	547	957
364	548	953
365	548	950
366	549	947
367	550	944
368	550	941
369	551	938
370	551	935
371	552	932
372	552	929
373	553	926
374	553	922
375	554	919
376	554	916
377	555	913
378	555	910
379	556	907
380	556	904
381	557	901
382	573	923
383	573	920
384	574	917
385	575	914
386	575	911
387	576	909
388	576	906
389	577	903
390	577	900
391	578	897
392	579	894
393	579	891
394	580	888
395	580	885
396	581	882
397	581	880
398	582	877
399	582	874
400	583	871
401	584	868
402	584	866
403	585	863
404	585	860
405	586	857
406	586	854
407	587	852
408	587	849
409	596	858
410	604	865
411	604	863
412	605	860
413	606	857
414	606	855
415	607	852
416	607	849
417	608	846
418	608	844
419	609	841
420	609	838
421	610	836
422	611	833
423	611	831
424	612	828
425	612	825
426	613	823
427	614	820
428	614	818
429	615	815
430	615	813
431	616	810
432	617	807
433	617	805
434	618	802
435	619	800
436	634	817
437	635	814
438	635	812
439	636	809
440	637	807
441	637	805
442	638	802
443	638	800
444	639	797
445	640	795
446	640	792
447	641	790
448	642	787
449	642	785
450	643	783
451	644	780
452	644	778
453	645	776
454	645	773
455	646	771
456	646	768
457	647	766
458	648	763
459	648	761
460	649	759
461	659	767
462	665	771
463	666	769
464	667	767
465	668	765
466	668	763
467	669	760
468	669	758
469	670	756
470	671	753
471	671	751
472	672	748
473	672	746
474	673	744
475	674	742
476	674	739
477	675	737
478	676	735
479	676	733
480	677	731
481	678	728
482	678	726
483	679	724
484	681	723
485	695	735
486	696	733
487	697	731
488	698	729
489	699	727
490	699	725
491	700	723
492	701	721
493	701	718
494	702	716
495	702	714
496	703	711
497	703	709
498	704	707
499	705	705
500	705	702
501	706	700
502	706	698
503	707	696
504	708	694
505	708	691
506	709	689
507	709	687
508	710	684
509	721	693
510	724	693
511	725	691
512	743	705
513	744	703
514	744	701
515	745	699
516	745	696
517	746	694
518	747	692
519	747	690
520	748	687
521	748	685
522	749	683
523	749	681
524	750	679
525	751	676
526	751	674
527	752	672
528	752	670
529	753	668
530	754	666
531	754	663
532	755	661
533	770	672
534	771	670
535	772	668
536	772	666
537	773	663
538	773	661
539	774	659
540	774	657
541	775	655
542	775	652
543	776	650
544	777	648
545	777	646
546	778	644
547	778	642
548	779	640
549	780	638
550	780	636
551	781	634
552	782	632
553	782	630
554	783	627
555	783	625
556	784	623
557	784	621
558	785	619
559	785	617
560	786	615
561	787	613
562	787	611
563	788	609
564	788	607
565	789	605
566	789	603
567	790	601
568	790	599
569	791	597
570	792	595
571	792	593
572	793	591
573	793	589
574	794	587
575	807	594
576	810	594
577	810	592
578	811	590
579	812	588
580	813	586
581	814	584
582	814	582
583	815	580
584	815	578
585	816	576
586	816	574
587	817	572
588	818	570
589	818	569
590	819	567
591	820	565
592	821	563
593	821	561
594	822	559
595	822	557
596	823	555
597	824	553
598	828	554
599	840	560
600	841	558
601	842	556
602	842	554
603	843	552
604	843	551
605	844	549
606	845	547
607	846	545
608	846	543
609	848	542
610	848	540
611	849	538
612	850	536
613	850	534
614	851	532
615	851	531
616	852	529
617	853	527
618	853	525
619	854	523
620	859	524
621	870	529
622	871	527
623	872	525
624	873	523
625	873	522
626	874	520
627	875	518
628	875	516
629	876	514
630	877	512
631	877	510
632	878	509
633	878	507
634	879	505
635	879	503
636	880	501
637	881	500
638	881	498
639	882	496
640	883	494
641	883	492
642	884	491
643	884	489
644	887	488
645	901	494
646	902	492
647	903	490
648	904	488
649	904	487
650	905	485
651	906	483
652	906	481
653	907	479
654	907	478
655	908	476
656	908	474
657	909	472
658	910	470
659	910	469
660	911	467
661	912	465
662	913	464
663	914	462
664	914	460
665	915	459
666	918	458
